Company Name,Top Parent Company,Company Type,Company Category
BRENNTAG ASIA PACIFIC PTE. LTD.,BRENNTAG (HOLDING) B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
PAN-UNITED TECHNOLOGIES PTE. LTD.,PAN-UNITED CORPORATION LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
Capgemini Singapore PTE. LTD.,CAPGEMINI SE,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
J&T EXPRESS SINGAPORE PTE. LTD.,WINNER STAR HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"MANPOWER HOLDINGS, INC.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CAVASIA PTE. LTD.,TYCO INTERNATIONAL HOLDING S.A.R.L.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
HEALTHWAY MEDICAL ENTERPRISES PTE LTD,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THOMSON FERTILITY CENTRE PTE LTD,THOMSON MEDICAL GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CORDIS SINGAPORE PTE. LTD.,CORDIS MEDICAL HOLDINGS UNLIMITED COMPANY,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NEXWAVE TECHNOLOGIES PTE LTD,TELECHOICE INTERNATIONAL LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ENVAC SINGAPORE PTE. LTD.,ENVAC AB,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GATES INDUSTRIAL SINGAPORE PTE. LTD.,GATES FINANCE LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
PRO-MATRIX PTE LTD,NTT FACILITIES INC.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
QUASAR MEDICAL (SINGAPORE) PTE. LTD.,QUASAR ENGINEERING LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
FIRST STREET PTE. LTD.,PIECE INVESTMENT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
UEMS SOLUTIONS PTE. LTD.,UEM EDGENTA BERHAD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SBCC CLINIC PTE LTD,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,NTUC FIRST CAMPUS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
BLKJ HAVAS PTE. LTD.,HAVAS,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SIX TOES PRIVATE LIMITED,OMNICOM APIMA HOLDINGS LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ISLAND ORTHOPAEDIC CONSULTANTS PTE LTD,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SRE GLOBAL PTE. LTD.,ADVANCER GLOBAL LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
AIMS APAC PROPERTY MANAGEMENT PTE. LTD.,AIMS APAC PROPERTY MANAGEMENT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SBCC WOMEN'S CLINIC PTE. LTD.,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
UROHEALTH PTE. LTD.,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THOMSON BREAST CENTRE PTE. LTD.,THOMSON MEDICAL GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
HOUSTON WELL SCREEN ASIA PTE LTD,WEATHERFORD BERMUDA HOLDINGS LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
PT BINA VIKTORI INDONESIA,Black & Veatch International Company,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
UNION SERVICES (S'PORE) PTE LTD,"THE SUMITOMO WAREHOUSE CO., LTD.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CRESTSA MARINE & OFFSHORE PTE. LTD.,PACIFIC RADIANCE LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NOVENA RADIOLOGY PTE. LTD.,TLW SUCCESS LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THOMSON SPECIALISTS PTE. LTD.,THOMSON MEDICAL GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SEAGATE MANUFACTURING SG PTE. LTD.,"INTEVAC, INC.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MGCA CAFE SG PTE. LTD.,MARUBENI GROWTH CAPITAL ASIA PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ALLIANCE MEDICAL CENTRE (DHOBY) PTE. LTD.,ALLIANCE HEALTHCARE GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GALDERMA SINGAPORE PRIVATE LIMITED,GALDERMA PHARMA S.A.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ANDRITZ SINGAPORE PTE. LTD.,ANDRITZ AG,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
LONZA BIOLOGICS TUAS PTE. LTD.,LONZA GROUP AG,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SELECT PM PTE. LTD.,INTERNATIONAL CULINARY MANAGEMENT LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SIEMENS MOBILITY PTE. LTD.,SIEMENS MOBILITY HOLDING B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
COMPASS GROUP (SINGAPORE) PTE. LTD.,COMPASS GROUP INTERNATIONAL BV,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ASSA ABLOY ENTRANCE SYSTEMS SINGAPORE PTE. LTD.,BESAM AB,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
UD TRUCKS SINGAPORE (PTE.) LTD.,UD TRUCKS CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ALPS LOGISTICS (S) PTE LTD,"ALPS LOGISTICS CO., LTD.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
AUSTCO MARKETING & SERVICE (ASIA) PTE LTD,AUSTCO COMMUNICATION SYSTEM PTY LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MITSUBISHI HEAVY INDUSTRIES ASIA PACIFIC PTE. LTD.,"MITSUBISHI HEAVY INDUSTRIES, LTD",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GOLDBELL LEASING PTE LTD,GOLDBELL CORPORATION PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MISUMI SOUTH EAST ASIA PTE. LTD.,MISUMI CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ASCENSUS HEALTH GROUP PTE. LTD.,NEWMEDCO GROUP LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
OUE AIRPORT HOTEL PTE. LTD.,OUE LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MUJI (SINGAPORE) PTE. LTD.,"RYOHIN KEIKAKU CO., LTD",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
OWENS CORNING (SINGAPORE) PTE LTD,OC NL INVEST COOPERATIEF U.A.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
HAI LECK ENGINEERING (PRIVATE) LIMITED,HAI LECK HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
HAI LECK ENGINEERING & CONSTRUCTION PTE. LTD.,HAI LECK HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
STARBURST ENGINEERING PTE LTD,NORDIC FLOW CONTROL PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
WONG FONG ENGINEERING WORKS (1988) PTE LTD,WONG FONG INDUSTRIES LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
COLIWOO ORCHARD PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SEPANG AIRCRAFT ENGINEERING SDN. BHD.,SEPANG AIRCRAFT ENGINEERING SDN. BHD.,,SME (subsidiary of Mid-sized/MNC)
UPECA AEROTECH SDN. BHD.,UPECA AEROTECH SDN. BHD.,,SME (subsidiary of Mid-sized/MNC)
AIR INDIA EXPRESS LIMITED,AIR INDIA EXPRESS LIMITED,,SME (subsidiary of Mid-sized/MNC)
INTERGLOBE AVIATION LIMITED,INTERGLOBE AVIATION LIMITED,,SME (subsidiary of Mid-sized/MNC)
HNA AVIATION TECHNIC CO. LTD,HNA AVIATION TECHNIC CO. LTD,,SME (subsidiary of Mid-sized/MNC)
SHENZHEN AIRLINES,SHENZHEN AIRLINES,,SME (subsidiary of Mid-sized/MNC)
"XIAMEN AIRLINES CO., LTD.","XIAMEN AIRLINES CO., LTD.",,SME (subsidiary of Mid-sized/MNC)
SUSHI-TEI PTE LTD,SIRIUS CORP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SPX EXPRESS PRIVATE LIMITED,SPX EXPRESS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CARGO COMMUNITY NETWORK PTE LTD,SINGAPORE AIRLINES LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NATSTEEL RECYCLING PTE. LTD.,TOPTIP HOLDING PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ST ENGINEERING UNMANNED & INTEGRATED SYSTEMS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
COLIWOO HOSTELS PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
LHN FACILITIES MANAGEMENT PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
TEN SURGERY GROUP PTE. LTD.,HEALTHWAY MEDICAL CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
TYCOON ASIA PACIFIC (SINGAPORE) PTE. LIMITED,KEY ZONE INVESTMENT INC.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
INDOGUNA (SINGAPORE) PTE LTD,SIAM FOOD SERVICES LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
AEDAS PTE. LTD.,AEDAS (ARCHITECTS) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GAMMON PTE. LIMITED,GAMMON CONSTRUCTION HOLDINGS (S) PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
KONE PTE LTD,KONE HOLLAND B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
RE SUSTAINABILITY CLEANTECH PTE. LTD.,RAMKY ENVIRO ENGINEERS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THE CAPITOL KEMPINSKI HOTEL SINGAPORE,CAPITOL HOTEL MANAGER PTE. LTD.,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
BERLY PROPERTIES PTE. LTD.,LHN LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
S. F. EXPRESS (SINGAPORE) PRIVATE LIMITED,S.F. EXPRESS (OVERSEAS) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
THOMSON ONCOCARE CANCER CENTRE PTE. LTD.,THOMSON MEDICAL GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SUPER BEND PTE. LTD.,ZENITH STEEL GROUP CO. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
CHUBB SINGAPORE PRIVATE LIMITED,CHUBB GROUP LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
VIET NAM AMERICAN OIL TOOLS JOINT STOCK COMPANY,VIET NAM AMERICAN OIL TOOLS JOINT STOCK COMPANY,PRIVATE LIMITED,SME (subsidiary of Mid-sized/MNC)
THOMSON WOMEN'S CLINIC HOLDINGS PTE LTD,THOMSON MEDICAL GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
ROBIN VILLAGE DEVELOPMENT PTE. LTD.,TIONG SENG HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
STARCOM MEDIA WORLDWIDE,PUBLICIS GROUPE HOLDINGS B.V.,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
VIRTUSA SINGAPORE PRIVATE LIMITED,"VIRTUSA INTERNATIONAL, B.V.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
FUCHI PTE. LTD.,GECOSS CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SKYLIFT CONSOLIDATOR (PTE) LTD,"SENKO GROUP HOLDINGS CO., LTD",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
HITACHI ELEVATOR ASIA PTE. LTD.,"HITACHI, LTD.",PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SB PROCUREMENT PTE. LTD.,SOILBUILD CONSTRUCTION GROUP LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
MONASH IVF SINGAPORE PTE. LTD.,MONASH IVF GROUP LIMITED,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
SOFITEL SINGAPORE CITY CENTRE,GUOCOLAND LIMITED,SOLE PROPRIETOR,SME (subsidiary of Mid-sized/MNC)
DETPAK PACKAGING PTE LTD,DETMOLD HOLDINGS PTY LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
TIME EMPORIUM PTE. LTD.,CORTINA HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
QINGJIAN ENGINEERING & CONSTRUCTION PTE. LTD.,QINGJIAN ENGINEERING & CONSTRUCTION PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
YUNEX PTE. LTD.,YUNEX GMBH,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
GKE WAREHOUSING & LOGISTICS PTE LTD,GKE CORPORATION LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
"ROCHE SINGAPORE TECHNICAL OPERATIONS, PTE. LTD.",F. HOFFMANN-LA ROCHE LTD,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
DP WORLD LOGISTICS SINGAPORE PTE. LTD.,DP WORLD LOGISTICS FZE,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
STEPAN ASIA PTE. LTD.,STEPAN CANADA SALES INC.,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
PEOPLE ADVANTAGE PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
KEPPEL BAY TOWER LLP,KEPPEL BAY TOWER LLP,LIMITED LIABILITY PARTNERSHIP,SME (subsidiary of Mid-sized/MNC)
SYMRISE ASIA PACIFIC PTE. LTD.,BUSIRIS VERMOGENSVERWALTUNG GMBH,PRIVATE COMPANY LIMITED BY SHARES,SME (subsidiary of Mid-sized/MNC)
NATIONAL UNIVERSITY OF SINGAPORE SOCIETY,NATIONAL UNIVERSITY OF SINGAPORE SOCIETY,SOCIETIES,Society
SECURITIES INVESTORS ASSOCIATION (SINGAPORE),SECURITIES INVESTORS ASSOCIATION (SINGAPORE),,Society
